time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake
737.700000,e3,1274.371,22.6202,8774.371,63.141719,0.000000,0.0000,0,0.2000,0.0000
737.800000,e3,1276.633,22.6243,8776.633,63.141719,0.000000,0.0000,0,0.2000,0.0000
737.900000,e3,1278.896,22.6284,8778.896,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.000000,e3,1281.159,22.6325,8781.159,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.100000,e3,1283.423,22.6366,8783.423,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.200000,e3,1285.686,22.6408,8785.686,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.300000,e3,1287.951,22.6449,8787.951,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.400000,e3,1290.215,22.6490,8790.215,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.500000,e3,1292.481,22.6531,8792.481,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.600000,e3,1294.746,22.6573,8794.746,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.700000,e3,1297.012,22.6614,8797.012,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.800000,e3,1299.278,22.6655,8799.278,63.141719,0.000000,0.0000,0,0.2000,0.0000
738.900000,e3,1301.545,22.6696,8801.545,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.000000,e3,1303.809,22.6177,8803.809,63.141719,0.000000,0.0000,0,0.0000,0.3500
739.100000,e3,1306.071,22.6219,8806.071,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.200000,e3,1308.334,22.6260,8808.334,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.300000,e3,1310.597,22.6301,8810.597,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.400000,e3,1312.860,22.6342,8812.860,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.500000,e3,1315.123,22.6383,8815.123,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.600000,e3,1317.388,22.6425,8817.388,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.700000,e3,1319.652,22.6466,8819.652,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.800000,e3,1321.917,22.6507,8821.917,63.141719,0.000000,0.0000,0,0.2000,0.0000
739.900000,e3,1324.182,22.6548,8824.182,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.000000,e3,1326.448,22.6589,8826.448,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.100000,e3,1328.714,22.6631,8828.714,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.200000,e3,1330.980,22.6672,8830.980,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.300000,e3,1333.245,22.6153,8833.245,63.141719,0.000000,0.0000,0,0.0000,0.3500
740.400000,e3,1335.506,22.6194,8835.506,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.500000,e3,1337.768,22.6236,8837.768,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.600000,e3,1340.031,22.6277,8840.031,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.700000,e3,1342.294,22.6318,8842.294,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.800000,e3,1344.557,22.6359,8844.557,63.141719,0.000000,0.0000,0,0.2000,0.0000
740.900000,e3,1346.821,22.6400,8846.821,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.000000,e3,1349.085,22.6442,8849.085,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.100000,e3,1351.350,22.6483,8851.350,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.200000,e3,1353.615,22.6524,8853.615,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.300000,e3,1355.880,22.6565,8855.880,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.400000,e3,1358.146,22.6606,8858.146,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.500000,e3,1360.413,22.6648,8860.413,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.600000,e3,1362.679,22.6689,8862.679,63.141719,0.000000,0.0000,0,0.2000,0.0000
741.700000,e3,1364.944,22.6170,8864.944,63.141719,0.000000,0.0000,0,0.0000,0.3500
741.800000,e3,1367.205,22.6211,8867.205,63.141719,0.000000,0.0000,0,0.2000,0.0000
