time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake
493.300000,e2,1105.634,22.6256,6105.634,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.400000,e2,1107.897,22.6286,6107.897,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.500000,e2,1110.160,22.6316,6110.160,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.600000,e2,1112.423,22.6346,6112.423,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.700000,e2,1114.686,22.6376,6114.686,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.800000,e2,1116.950,22.6406,6116.950,57.002421,0.000000,0.0000,0,0.2000,0.0000
493.900000,e2,1119.215,22.6436,6119.215,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.000000,e2,1121.479,22.6466,6121.479,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.100000,e2,1123.744,22.6496,6123.744,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.200000,e2,1126.009,22.6525,6126.009,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.300000,e2,1128.274,22.6555,6128.274,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.400000,e2,1130.540,22.6585,6130.540,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.500000,e2,1132.806,22.6615,6132.806,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.600000,e2,1135.072,22.6645,6135.072,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.700000,e2,1137.339,22.6675,6137.339,57.002421,0.000000,0.0000,0,0.2000,0.0000
494.800000,e2,1139.603,22.6145,6139.603,57.002421,0.000000,0.0000,0,0.0000,0.3500
494.900000,e2,1141.865,22.6175,6141.865,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.000000,e2,1144.127,22.6205,6144.127,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.100000,e2,1146.389,22.6235,6146.389,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.200000,e2,1148.651,22.6264,6148.651,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.300000,e2,1150.914,22.6294,6150.914,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.400000,e2,1153.177,22.6324,6153.177,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.500000,e2,1155.441,22.6354,6155.441,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.600000,e2,1157.704,22.6384,6157.704,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.700000,e2,1159.968,22.6414,6159.968,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.800000,e2,1162.233,22.6444,6162.233,57.002421,0.000000,0.0000,0,0.2000,0.0000
495.900000,e2,1164.497,22.6474,6164.497,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.000000,e2,1166.762,22.6504,6166.762,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.100000,e2,1169.027,22.6534,6169.027,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.200000,e2,1171.293,22.6563,6171.293,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.300000,e2,1173.558,22.6593,6173.558,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.400000,e2,1175.825,22.6623,6175.825,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.500000,e2,1178.091,22.6653,6178.091,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.600000,e2,1180.358,22.6683,6180.358,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.700000,e2,1182.622,22.6153,6182.622,57.002421,0.000000,0.0000,0,0.0000,0.3500
496.800000,e2,1184.883,22.6183,6184.883,57.002421,0.000000,0.0000,0,0.2000,0.0000
496.900000,e2,1187.145,22.6213,6187.145,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.000000,e2,1189.408,22.6243,6189.408,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.100000,e2,1191.670,22.6272,6191.670,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.200000,e2,1193.933,22.6302,6193.933,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.300000,e2,1196.196,22.6332,6196.196,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.400000,e2,1198.460,22.6362,6198.460,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.500000,e2,1200.724,22.6392,6200.724,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.600000,e2,1202.988,22.6422,6202.988,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.700000,e2,1205.252,22.6452,6205.252,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.800000,e2,1207.517,22.6482,6207.517,57.002421,0.000000,0.0000,0,0.2000,0.0000
497.900000,e2,1209.782,22.6512,6209.782,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.000000,e2,1212.047,22.6542,6212.047,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.100000,e2,1214.312,22.6571,6214.312,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.200000,e2,1216.578,22.6601,6216.578,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.300000,e2,1218.845,22.6631,6218.845,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.400000,e2,1221.111,22.6661,6221.111,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.500000,e2,1223.378,22.6691,6223.378,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.600000,e2,1225.642,22.6161,6225.642,57.002421,0.000000,0.0000,0,0.0000,0.3500
498.700000,e2,1227.904,22.6191,6227.904,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.800000,e2,1230.166,22.6221,6230.166,57.002421,0.000000,0.0000,0,0.2000,0.0000
498.900000,e2,1232.428,22.6251,6232.428,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.000000,e2,1234.691,22.6281,6234.691,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.100000,e2,1236.954,22.6310,6236.954,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.200000,e2,1239.217,22.6340,6239.217,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.300000,e2,1241.481,22.6370,6241.481,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.400000,e2,1243.744,22.6400,6243.744,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.500000,e2,1246.009,22.6430,6246.009,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.600000,e2,1248.273,22.6460,6248.273,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.700000,e2,1250.538,22.6490,6250.538,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.800000,e2,1252.803,22.6520,6252.803,57.002421,0.000000,0.0000,0,0.2000,0.0000
499.900000,e2,1255.068,22.6550,6255.068,57.002421,0.000000,0.0000,0,0.2000,0.0000
500.000000,e2,1257.334,22.6580,6257.334,57.002421,0.000000,0.0000,0,0.2000,0.0000
500.100000,e2,1259.600,22.6609,6259.600,57.002421,0.000000,0.0000,0,0.2000,0.0000
500.200000,e2,1261.866,22.6639,6261.866,57.002421,0.000000,0.0000,0,0.2000,0.0000
