time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,throttle,brake
491.6000000000433,e2,1049.9877648065687,22.591060043734405,6049.987764806562,67.22481050036163,0.2,0.0
491.7000000000433,e2,1052.2470522991862,22.59468980861632,6052.24705229918,67.22481050036163,0.2,0.0
491.8000000000433,e2,1054.5067027628338,22.598319464335596,6054.506702762827,67.22481050036163,0.2,0.0
491.90000000004335,e2,1056.7667161865947,22.60194901088498,6056.766716186588,67.22481050036163,0.2,0.0
492.00000000004337,e2,1059.0270925595519,22.605578448257212,6059.027092559545,67.22481050036163,0.2,0.0
492.1000000000434,e2,1061.287831870787,22.60920777644504,6061.28783187078,67.22481050036163,0.2,0.0
492.2000000000434,e2,1063.5489341093812,22.61283699544121,6063.548934109374,67.22481050036163,0.2,0.0
492.30000000004344,e2,1065.810399264415,22.616466105238473,6065.810399264408,67.22481050036163,0.2,0.0
492.40000000004346,e2,1068.0722273249685,22.620095105829574,6068.072227324962,67.22481050036163,0.2,0.0
492.5000000000435,e2,1070.3344182801204,22.623723997207264,6070.334418280114,67.22481050036163,0.2,0.0
492.6000000000435,e2,1072.596972118949,22.627352779364298,6072.596972118942,67.22481050036163,0.2,0.0
492.70000000004353,e2,1074.8598888305319,22.630981452293426,6074.859888830525,67.22481050036163,0.2,0.0
492.80000000004355,e2,1077.123168403946,22.634610015987402,6077.123168403939,67.22481050036163,0.2,0.0
492.9000000000436,e2,1079.3868108282672,22.63823847043898,6079.38681082826,67.22481050036163,0.2,0.0
493.0000000000436,e2,1081.6508160925712,22.641866815640917,6081.650816092564,67.22481050036163,0.2,0.0
493.1000000000436,e2,1083.9151841859325,22.64549505158597,6083.915184185926,67.22481050036163,0.2,0.0
493.20000000004364,e2,1086.1799150974252,22.6491231782669,6086.179915097418,67.22481050036163,0.2,0.0
493.30000000004367,e2,1088.4450088161225,22.652751195676466,6088.445008816116,67.22481050036163,0.2,0.0
493.4000000000437,e2,1090.7104653310967,22.656379103807424,6090.71046533109,67.22481050036163,0.2,0.0
493.5000000000437,e2,1092.9762846314197,22.66000690265254,6092.976284631412,67.22481050036163,0.2,0.0
493.60000000004374,e2,1095.2424667061625,22.663634592204577,6095.242466706155,67.22481050036163,0.2,0.0
493.70000000004376,e2,1097.5090115443957,22.667262172456297,6097.509011544388,67.22481050036163,0.2,0.0
493.8000000000438,e2,1099.7710191351885,22.57288964340047,6099.771019135181,67.22481050036163,0.0,0.35
493.9000000000438,e2,1102.0284896150877,22.576519954586008,6102.02848961508,67.22481050036163,0.2,0.0
